Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2022-10-20,15.3,15.3,15.3,15.2,8.08K,0.0,bank,BH
2022-10-19,15.3,15.27,15.3,15.01,4.10K,0.66,bank,BH
2022-10-18,15.2,15.0,15.35,15.0,45.83K,1.33,bank,BH
2022-10-17,15.0,14.6,15.0,14.43,28.57K,3.45,bank,BH
2022-10-14,14.5,13.16,14.82,13.16,28.87K,3.65,bank,BH
2022-10-13,13.99,13.5,14.0,13.22,2.03K,4.4,bank,BH
2022-10-12,13.4,13.1,13.5,13.0,6.13K,1.52,bank,BH
2022-10-11,13.2,13.19,13.2,13.19,1.06K,0.0,bank,BH
2022-10-10,13.2,13.2,13.2,13.2,0.08K,-0.38,bank,BH
2022-10-07,13.25,13.24,13.25,13.22,1.20K,0.08,bank,BH
2022-10-06,13.24,12.99,13.25,12.99,0.84K,-0.08,bank,BH
2022-10-05,13.25,13.5,13.5,13.25,0.35K,-1.85,bank,BH
2022-10-04,13.5,13.5,13.5,13.25,1.88K,-1.1,bank,BH
2022-10-03,13.65,13.0,13.65,12.64,7.09K,4.2,bank,BH
2022-09-30,13.1,12.63,13.13,12.38,1.71K,1.71,bank,BH
2022-09-29,12.88,12.0,12.88,12.0,8.63K,5.92,bank,BH
2022-09-28,12.16,12.43,12.43,12.16,1.21K,-2.33,bank,BH
2022-09-27,12.45,12.26,12.49,12.26,0.69K,5.06,bank,BH
2022-09-26,11.85,11.65,11.85,11.65,1.70K,1.72,bank,BH
2022-09-23,11.65,11.85,11.85,11.65,0.07K,-1.69,bank,BH
2022-09-22,11.85,11.65,11.85,11.65,0.87K,0.42,bank,BH
2022-09-21,11.8,11.65,11.8,11.65,0.49K,-0.42,bank,BH
2022-09-20,11.85,11.5,11.85,11.5,2.67K,-0.17,bank,BH
2022-09-19,11.87,11.88,11.89,11.87,1.62K,-0.08,bank,BH
2022-09-16,11.88,11.98,11.98,11.88,2.22K,0.0,bank,BH
2022-09-15,11.88,11.98,11.98,11.88,0.31K,-1.0,bank,BH
